MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
20,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,0,0,1656,0,0,2,0,3,1,0,826,0,146,0,0,0,0,0,7,2007,230452
190,33.0,4456,4,5,1920,2008,0.0,0,0,736,736,716,0,1452,0,0,2,0,2,3,0,0,0,0,102,0,0,0,0,6,2009,85068
20,66.0,7742,5,7,1966,1966,0.0,763,0,192,955,0,0,955,1,0,1,0,3,1,0,386,0,0,0,0,0,0,0,1,2007,141374
60,69.0,13869,6,6,1997,1997,0.0,182,0,612,794,676,0,1470,0,1,2,0,3,1,0,388,0,75,0,0,0,0,0,7,2007,135221
50,52.0,6240,6,6,1934,1950,0.0,0,0,816,816,0,360,1176,0,0,1,0,3,1,1,528,112,0,0,0,0,0,400,9,2006,149217
90,110.0,8472,5,5,1963,1963,0.0,104,712,0,816,0,0,816,1,0,1,0,2,1,0,516,106,0,0,0,0,0,0,5,2010,123769
20,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,0,0,1842,2,0,0,1,0,1,1,894,857,72,0,0,0,0,0,11,2006,378845
80,60.0,7134,5,5,1955,1955,0.0,384,0,0,1360,0,0,1360,0,0,1,0,3,1,1,572,0,50,0,0,0,0,0,2,2007,119058
20,100.0,10175,6,5,1964,1964,272.0,490,0,935,1425,0,0,1425,0,0,2,0,3,1,1,576,0,0,0,407,0,0,0,7,2008,176031
160,24.0,2645,8,5,1999,2000,456.0,649,0,321,983,756,0,1739,1,0,2,1,3,1,0,480,115,0,0,0,0,0,0,8,2009,233604
60,89.0,11645,7,5,2004,2004,0.0,0,0,860,860,860,0,1720,0,0,2,1,3,1,0,565,0,70,0,0,0,0,0,8,2006,195434
60,66.0,13682,10,5,2006,2006,1031.0,0,0,1410,1426,1519,0,2945,0,0,3,1,3,1,1,641,192,0,37,0,0,0,0,10,2006,358598
20,60.0,7200,5,7,1972,1972,0.0,632,0,148,780,0,0,780,0,0,1,0,2,1,0,352,196,0,0,0,0,0,0,1,2008,89639
20,63.0,13072,6,5,2004,2004,0.0,941,0,217,1158,0,0,1158,1,0,1,1,3,1,0,576,0,50,0,0,0,0,0,5,2006,150006
75,60.0,7200,5,7,1920,1996,0.0,0,0,530,581,530,0,1111,0,0,1,0,3,1,0,288,0,0,144,0,0,0,0,3,2007,109128
120,44.0,6442,8,5,2006,2006,178.0,24,0,1346,1370,0,0,1370,0,0,2,0,2,1,1,484,120,49,0,0,0,0,0,10,2007,200135
70,50.0,10300,7,6,1921,1950,0.0,0,0,576,902,808,0,1710,0,0,2,0,3,1,0,480,12,11,64,0,0,0,0,4,2010,114360
60,69.0,9375,7,5,1997,1998,573.0,739,0,318,1057,977,0,2034,1,0,2,1,3,1,0,645,576,36,0,0,0,0,0,2,2009,263640
60,76.0,9591,8,5,2004,2005,344.0,0,0,1143,1143,1330,0,2473,0,0,2,1,4,1,1,852,192,151,0,0,0,0,0,10,2007,370958
20,69.0,19900,7,5,1970,1989,287.0,912,0,1035,2207,0,0,2207,1,0,2,0,3,1,1,576,301,0,0,0,0,0,0,7,2010,241746
20,72.0,10665,7,5,2003,2003,167.0,1013,0,440,1479,0,0,1479,1,0,2,0,3,1,0,558,144,29,0,0,0,0,0,6,2007,216945
30,47.0,4608,4,6,1945,1950,0.0,0,0,747,747,0,0,747,0,0,1,0,2,1,0,220,0,0,0,0,0,0,0,6,2010,98780
50,81.0,15593,7,4,1953,1953,0.0,603,0,701,1304,983,0,2287,0,0,2,0,3,1,1,667,0,21,114,0,0,0,0,7,2006,221789
20,95.0,13651,7,6,1973,1973,1115.0,1880,0,343,2223,0,0,2223,1,0,2,0,3,1,2,516,300,0,0,0,0,0,0,2,2007,372268
20,69.0,7599,4,6,1982,2006,0.0,565,0,280,845,0,0,845,1,0,1,0,2,1,0,360,0,0,0,0,0,0,0,6,2007,121533
60,74.0,10141,7,5,1998,1998,40.0,0,0,832,885,833,0,1718,0,0,2,1,3,1,1,427,0,94,0,0,291,0,0,12,2009,241496
20,85.0,10200,5,7,1954,2003,104.0,320,362,404,1086,0,0,1086,1,0,1,0,3,1,0,490,0,0,0,0,0,0,0,5,2010,117417
50,60.0,5790,3,6,1915,1950,0.0,0,0,840,840,765,0,1605,0,0,2,0,3,2,0,379,0,0,202,0,0,0,0,5,2010,74347
180,21.0,1596,4,5,1973,1973,0.0,462,0,0,526,462,0,988,1,0,1,0,2,1,0,297,120,101,0,0,0,0,0,11,2009,102007
20,69.0,8475,4,7,1956,1956,0.0,228,0,724,952,0,0,952,0,0,1,0,2,1,0,283,0,0,0,0,0,0,0,4,2008,140578
50,50.0,8635,5,5,1948,2001,0.0,336,41,295,1072,213,0,1285,1,0,1,0,2,1,0,240,0,0,0,0,0,0,0,1,2008,128208
90,72.0,10778,4,5,1968,1968,0.0,0,0,1768,1768,0,0,1768,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,4,2010,146197
50,60.0,10440,5,6,1910,1981,0.0,0,0,440,682,548,0,1230,0,0,1,1,2,1,0,440,74,0,128,0,0,0,0,5,2009,123265
60,100.0,13000,6,6,1968,1968,576.0,448,0,448,1182,960,0,2142,0,0,2,1,4,1,1,509,0,72,0,0,252,0,0,6,2009,267250
120,32.0,4500,6,5,1998,1998,443.0,1201,0,36,1337,0,0,1337,1,0,2,0,2,1,0,405,0,199,0,0,0,0,0,3,2006,127838
20,78.0,10206,8,5,2007,2007,468.0,33,0,1530,1563,0,0,1563,0,0,2,0,3,1,1,758,144,99,0,0,0,0,0,10,2008,209527
20,80.0,8892,5,5,1960,1960,66.0,0,0,1065,1065,0,0,1065,0,0,1,1,3,1,0,461,74,0,0,0,0,0,0,7,2007,136950
80,69.0,8530,7,5,1995,1996,22.0,0,0,384,804,670,0,1474,0,0,2,1,3,1,1,400,120,72,0,0,0,0,700,5,2009,169581
60,121.0,16059,8,5,1991,1992,284.0,0,0,1288,1301,1116,0,2417,0,0,2,1,4,1,1,462,127,82,0,0,0,0,0,4,2006,315622
60,122.0,11911,6,5,2005,2005,0.0,0,0,684,684,876,0,1560,0,0,2,1,3,1,1,400,100,38,0,0,0,0,0,3,2009,253221
160,40.0,3951,6,5,2009,2009,76.0,0,0,612,612,612,0,1224,0,0,2,1,2,1,0,528,0,234,0,0,0,0,0,6,2009,122648
50,105.0,8470,3,2,1915,1982,0.0,0,0,1013,1013,0,513,1526,0,0,1,0,2,1,0,0,0,0,156,0,0,0,0,10,2009,74920
20,60.0,8070,4,5,1994,1995,0.0,588,0,402,990,0,0,990,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,8,2007,91652
20,60.0,7200,4,5,1950,1950,0.0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,0,420,0,29,0,0,0,0,0,7,2006,90232
20,85.0,8500,5,3,1961,1961,203.0,600,0,635,1235,0,0,1235,0,0,1,0,2,1,0,480,0,0,0,0,0,0,0,12,2006,122161
30,80.0,13360,5,7,1921,2006,0.0,713,0,163,964,0,0,964,1,0,1,0,2,1,0,432,0,0,44,0,0,0,0,8,2009,141747
190,60.0,7200,6,6,1910,1998,0.0,1046,0,168,1260,1031,0,2291,0,1,2,0,4,2,1,506,0,0,0,0,99,0,0,11,2007,178811
60,69.0,9337,6,5,1997,1997,0.0,648,0,176,905,881,0,1786,1,0,2,1,3,1,0,684,0,162,0,0,0,0,0,5,2007,201862
60,69.0,9765,6,8,1993,1993,68.0,310,0,370,680,790,0,1470,0,0,2,1,3,1,1,420,232,63,0,0,0,0,480,4,2009,229364
20,78.0,10264,7,5,1999,1999,183.0,1162,0,426,1588,0,0,1588,0,0,2,0,3,1,0,472,158,29,0,0,0,0,0,8,2006,198557
20,73.0,10921,4,5,1965,1965,48.0,520,0,440,960,0,0,960,1,0,1,0,3,1,0,432,120,0,0,0,0,0,0,5,2007,96396
30,85.0,10625,5,5,1920,1950,0.0,108,0,350,835,0,0,835,0,0,1,0,2,1,0,366,0,0,77,0,0,0,400,5,2010,86892
20,77.0,9320,4,5,1959,1959,0.0,569,0,381,1225,0,0,1225,1,0,1,1,3,1,0,0,352,0,0,0,0,0,400,1,2010,117681
20,69.0,10603,6,7,1977,2001,28.0,1200,0,410,1610,0,0,1610,1,0,2,0,3,1,2,480,168,68,0,0,0,0,0,2,2010,220223
60,77.0,9206,6,5,1985,1985,336.0,0,0,741,977,755,0,1732,0,0,2,1,3,1,1,476,192,46,0,0,0,0,0,6,2010,151110
90,64.0,7018,5,5,1979,1979,0.0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,0,410,0,0,0,0,0,0,0,6,2009,118781
20,94.0,10402,7,5,2009,2009,0.0,0,0,1226,1226,0,0,1226,0,0,2,0,3,1,0,740,0,36,0,0,0,0,0,5,2010,179613
50,69.0,7758,7,4,1931,1950,600.0,224,0,816,1226,592,0,1818,0,0,1,1,4,1,2,240,0,0,0,0,184,0,0,6,2007,198903
60,75.0,9375,8,5,2003,2004,768.0,0,0,1053,1053,939,0,1992,0,0,2,1,3,1,1,648,140,45,0,0,0,0,0,8,2008,242641
30,60.0,10800,4,7,1885,1995,0.0,0,0,641,1047,0,0,1047,0,0,1,0,2,1,0,273,0,0,0,0,0,0,450,8,2007,104782
20,50.0,6000,5,5,1948,1950,0.0,104,169,516,789,0,0,789,0,0,1,0,2,1,0,250,0,0,0,0,0,0,0,4,2008,115427
50,85.0,8500,5,7,1919,2005,0.0,0,0,793,997,520,0,1517,0,0,2,0,3,1,0,0,0,0,144,0,0,0,0,8,2007,102452
20,105.0,11751,6,6,1977,1977,480.0,705,0,1139,1844,0,0,1844,0,0,2,0,3,1,1,546,0,122,0,0,0,0,0,1,2010,181574
50,75.0,9525,6,4,1954,1972,0.0,444,0,550,1216,639,0,1855,0,0,2,0,4,1,0,325,182,0,0,0,0,0,0,10,2006,145515
80,69.0,7750,7,5,2000,2000,0.0,250,0,134,774,656,0,1430,0,0,2,1,3,1,1,400,180,0,0,0,0,0,0,4,2010,139070
60,77.0,9965,7,5,2007,2007,220.0,984,0,280,1282,1414,0,2696,1,0,2,1,4,1,1,792,120,184,0,0,168,0,0,10,2007,323315
20,69.0,21000,6,5,1953,1953,184.0,35,869,905,2259,0,0,2259,1,0,2,0,3,1,2,450,166,120,192,0,0,0,0,10,2007,241657
70,61.0,7259,6,8,1945,2002,0.0,774,150,104,1436,884,0,2320,1,0,2,1,3,1,1,180,224,0,0,0,0,0,0,7,2007,217738
160,34.0,3230,6,5,1999,1999,1129.0,419,0,310,729,729,0,1458,0,0,2,1,2,1,1,440,0,32,0,0,0,0,0,6,2007,175366
20,69.0,11616,5,5,1962,1962,116.0,170,670,252,1092,0,0,1092,0,1,1,0,3,1,1,288,0,20,144,0,0,0,0,9,2009,123256
20,74.0,8536,5,5,2006,2007,0.0,0,0,1125,1125,0,0,1125,0,0,1,1,2,1,0,430,80,64,0,0,0,0,0,4,2007,151931
60,90.0,12376,7,5,1990,1990,0.0,1470,0,203,1699,1523,0,3222,1,0,3,0,5,1,2,594,367,0,0,0,0,0,0,5,2010,300672
60,65.0,8461,6,5,2005,2006,0.0,0,0,728,728,728,0,1456,0,0,2,1,3,1,1,390,0,24,0,0,0,0,0,7,2006,209429
80,69.0,21453,6,5,1969,1969,0.0,938,0,0,988,0,0,988,1,0,1,0,1,1,2,540,0,130,0,130,0,0,0,10,2006,152434
50,50.0,6060,4,5,1939,1950,0.0,0,0,732,772,351,0,1123,0,0,1,0,3,1,0,264,0,0,140,0,0,0,0,6,2007,96203
20,75.0,9464,6,7,1958,1958,135.0,570,0,510,1080,0,0,1080,0,0,1,0,3,1,0,288,0,0,0,0,130,0,0,6,2008,133282
120,55.0,7892,6,5,1993,1993,0.0,300,0,899,1199,0,0,1199,0,0,2,0,2,1,0,530,0,63,0,0,0,0,0,3,2008,144065
20,48.0,17043,6,5,1979,1998,0.0,0,0,1362,1586,0,0,1586,0,0,2,0,3,1,1,435,192,0,0,0,0,0,0,1,2009,178434
190,60.0,6780,6,8,1935,1982,0.0,490,0,30,520,0,234,754,1,0,1,0,2,1,0,0,53,0,0,0,0,0,0,6,2006,115872
120,69.0,4928,6,5,1976,1976,0.0,120,0,958,958,0,0,958,0,0,2,0,2,1,1,440,0,205,0,0,0,0,0,2,2007,136918
45,55.0,4388,5,7,1930,1950,0.0,116,0,556,840,0,0,840,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,6,2007,92553
60,69.0,7590,6,5,1966,1966,266.0,512,0,148,660,688,0,1348,0,0,1,1,3,1,1,453,188,108,0,0,0,0,0,7,2006,141233
20,69.0,8973,5,7,1958,1991,85.0,567,28,413,1053,0,0,1053,0,1,1,1,3,1,0,750,0,80,0,180,0,0,0,7,2006,155125
60,88.0,14200,7,6,1966,1966,309.0,445,0,479,1216,941,0,2157,0,0,2,1,4,1,2,487,105,66,0,0,0,0,0,5,2006,224688
60,69.0,12224,6,5,2000,2000,40.0,695,0,297,1022,1032,0,2054,1,0,2,1,3,1,1,390,24,48,0,0,0,0,0,7,2009,210708
20,75.0,7388,5,6,1959,2002,0.0,405,0,658,1327,0,0,1327,1,0,1,0,3,1,0,624,0,0,0,0,0,0,0,7,2007,191032
20,69.0,6853,8,5,2001,2002,136.0,1005,0,262,1296,0,0,1296,1,0,2,0,2,1,0,471,192,25,0,0,0,0,0,6,2009,220332
20,78.0,10335,5,6,1968,1993,0.0,570,0,891,1721,0,0,1721,0,0,2,1,3,1,1,440,0,96,180,0,0,0,0,7,2006,188456
20,80.0,10400,7,6,1970,1970,288.0,0,0,1304,1682,0,0,1682,0,0,2,0,3,1,1,530,98,0,0,0,0,0,0,5,2008,247231
20,69.0,10355,5,5,1967,1967,196.0,695,0,519,1214,0,0,1214,0,0,2,0,3,1,1,318,0,111,0,0,0,0,0,7,2007,123158
90,82.0,11070,7,5,1988,1989,70.0,0,0,1907,1959,0,0,1959,0,0,3,0,5,2,0,766,0,0,0,0,0,0,0,7,2006,206531
60,73.0,9066,8,5,1999,2000,320.0,668,0,336,1004,848,0,1852,0,0,2,1,3,1,2,660,224,106,0,0,0,0,0,12,2008,323763
60,65.0,15426,6,5,1997,1997,0.0,821,0,107,928,836,0,1764,1,0,2,1,3,1,0,470,276,99,0,0,0,0,0,8,2009,168734
20,70.0,10500,4,5,1971,1971,0.0,432,0,432,864,0,0,864,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,4,2010,102527
20,78.0,11645,7,5,2005,2005,0.0,1300,0,434,1734,0,0,1734,1,0,2,0,3,1,0,660,160,24,0,0,0,0,0,1,2006,228328
50,71.0,8520,5,4,1952,1952,0.0,507,0,403,910,475,0,1385,0,0,2,0,4,1,0,720,0,0,0,0,0,0,0,6,2010,108953
20,78.0,10335,7,5,1999,1999,183.0,679,0,811,1501,0,0,1501,1,0,2,0,3,1,0,577,144,29,0,0,0,0,0,6,2009,214236
90,70.0,9100,5,5,1963,1963,336.0,1332,0,396,1728,0,0,1728,1,0,2,0,6,2,0,504,0,0,0,0,0,0,0,11,2006,181919
160,24.0,2522,6,5,2004,2006,50.0,0,0,970,970,739,0,1709,0,0,2,0,3,1,0,380,0,40,0,0,0,0,0,4,2006,142790
30,51.0,6120,5,7,1931,1993,0.0,209,0,506,875,0,0,875,1,0,1,0,2,1,0,180,48,0,0,0,0,0,0,11,2009,100047
60,69.0,9505,7,5,2001,2001,180.0,0,0,884,884,1151,0,2035,0,0,2,1,3,1,1,434,144,48,0,0,0,0,0,5,2010,190435
20,63.0,7500,7,5,2004,2005,120.0,680,0,400,1080,0,0,1080,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,2008,218192
50,69.0,6240,5,4,1936,1950,0.0,0,0,896,896,448,0,1344,0,0,1,0,3,1,0,240,200,114,0,0,0,0,0,4,2006,97064
20,120.0,10356,5,6,1975,1975,0.0,716,0,253,969,0,0,969,0,0,1,1,3,1,0,440,0,0,0,0,0,0,0,1,2007,142063
20,107.0,13891,8,5,2007,2008,436.0,1400,0,310,1710,0,0,1710,1,0,2,0,2,1,1,866,0,102,0,0,0,0,0,1,2008,288435
60,69.0,14803,6,5,1971,1971,252.0,416,0,409,1097,896,0,1993,0,0,2,1,4,1,1,495,0,66,0,0,0,0,0,6,2006,187817
20,69.0,13500,6,7,1960,1975,0.0,429,1080,93,1252,0,0,1252,1,0,1,0,1,1,1,564,409,0,0,0,0,0,0,3,2008,134029
30,84.0,11340,6,5,1923,1950,0.0,0,0,1200,1200,0,0,1200,0,0,1,0,4,1,0,312,0,0,228,0,0,0,0,3,2006,95870
50,60.0,9600,6,5,1924,1950,0.0,0,0,572,572,524,0,1096,0,0,1,0,2,1,0,0,0,8,128,0,0,0,0,4,2008,76426
20,60.0,7200,5,7,1950,1950,0.0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,0,625,0,0,0,0,0,0,0,6,2006,106391
60,92.0,12003,8,5,2009,2010,84.0,0,0,774,774,1194,0,1968,0,0,2,1,4,1,1,680,0,75,0,0,0,0,0,5,2010,289119
60,100.0,12552,7,5,2004,2005,0.0,222,0,769,991,956,0,1947,0,0,2,1,3,1,1,678,0,136,0,0,0,0,0,5,2010,229839
60,134.0,19378,7,5,2005,2006,456.0,57,0,1335,1392,1070,0,2462,1,0,2,1,4,1,1,576,239,132,0,168,0,0,0,3,2006,250621
20,69.0,11120,6,6,1984,1984,0.0,660,0,572,1232,0,0,1232,0,0,2,0,3,1,0,516,0,0,0,0,0,0,0,6,2008,207093
60,110.0,13688,9,5,2003,2004,664.0,1016,0,556,1572,1096,0,2668,1,0,2,1,3,1,2,726,400,0,0,0,0,0,0,3,2008,422516
20,95.0,12182,7,5,2005,2005,226.0,1201,0,340,1541,0,0,1541,0,0,2,0,3,1,1,532,0,70,0,0,0,0,0,5,2010,198471
45,55.0,5500,4,6,1956,1956,0.0,0,0,882,882,0,0,882,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,2007,99855
40,40.0,5400,6,7,1926,2004,0.0,370,0,779,1149,467,0,1616,0,0,2,0,3,1,0,216,0,0,183,0,0,0,0,10,2007,186849
190,62.0,10106,5,7,1940,1999,0.0,351,181,112,808,547,0,1355,1,0,2,0,4,2,0,0,140,0,0,0,0,0,0,9,2008,84236
20,69.0,10708,5,5,1955,1993,0.0,379,768,470,1867,0,0,1867,1,0,1,0,2,1,3,303,476,0,0,0,142,0,0,11,2009,149398
60,86.0,10562,8,5,2007,2007,300.0,1288,0,294,1610,551,0,2161,1,0,1,1,3,1,1,789,178,120,0,0,0,0,0,11,2007,327362
60,62.0,8244,7,5,2004,2004,0.0,0,0,840,840,880,0,1720,0,0,2,1,3,1,1,440,100,48,0,0,0,0,0,5,2007,233527
20,69.0,16669,8,6,1981,1981,653.0,0,0,1686,1707,0,0,1707,0,0,2,1,2,1,1,511,574,64,0,0,0,0,0,1,2006,223887
50,69.0,12358,5,6,1941,1950,0.0,360,0,360,854,0,528,1382,0,0,1,1,2,1,0,660,237,0,0,0,0,0,0,5,2007,107762
20,141.0,31770,6,5,1960,1960,112.0,639,0,441,1656,0,0,1656,1,0,1,0,3,1,2,528,210,62,0,0,0,0,0,5,2010,150090
160,44.0,5306,7,7,1987,1987,0.0,495,215,354,1064,703,0,1767,1,0,2,0,2,1,1,504,441,35,0,0,0,0,0,6,2006,197068
20,80.0,10197,6,5,1961,1961,491.0,288,374,700,1362,0,0,1362,1,0,1,1,3,1,1,504,0,20,0,0,0,0,0,6,2008,157375
20,47.0,12416,6,5,1986,1986,132.0,1398,208,0,1651,0,0,1651,1,0,2,0,3,1,1,616,192,0,0,0,0,0,0,11,2008,211582
